query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
query_1,TRUE,0.0499196293966666,2,1,1,1,0.5,CORUM:6425,CORUM,FOXO1-ATF4 complex,1077,532,CORUM:0000000
query_1,TRUE,0.0181202884447624,939,3,3,1,0.00319488817891374,GO:0019752,GO:BP,carboxylic acid metabolic process,27543,6954,GO:0043436
query_1,TRUE,0.0190634601991799,955,3,3,1,0.0031413612565445,GO:0043436,GO:BP,oxoacid metabolic process,27543,12315,GO:0006082
query_1,TRUE,0.0207282985878502,982,3,3,1,0.00305498981670061,GO:0006082,GO:BP,organic acid metabolic process,27543,2114,GO:0044237|GO:0044281|GO:0071704
query_1,TRUE,0.0499171374179006,2,3,1,0.333333333333333,0.5,GO:1990590,GO:CC,ATF1-ATF4 transcription factor complex,27317,4345,GO:0090575
query_1,TRUE,0.019854201893336,104,3,2,0.666666666666667,0.0192307692307692,KEGG:04922,KEGG,Glucagon signaling pathway,8583,361,KEGG:00000
